Execution,clock,current_position_x,current_position_y,target_position_x,target_position_y,move_x,move_y
1,6473,85.0,80.0,0,0,0,-5
1,6489,85.0,75.0,0,0,0,-5
1,6505,85.0,70.0,0,0,0,-5
1,6522,85.0,65.0,0,0,0,-5
1,6539,85.0,65.0,0,0,0,0
1,6556,85.0,65.0,0,0,0,0
1,6573,85.0,65.0,0,0,0,0
1,6590,85.0,65.0,0,0,0,0
1,6606,85.0,65.0,0,0,0,0
1,6623,85.0,65.0,0,0,0,0
1,6640,85.0,65.0,0,0,0,0
1,6657,85.0,65.0,0,0,0,0
1,6674,80.0,65.0,0,0,-5,0
1,6691,75.0,65.0,0,0,-5,0
1,6707,70.0,65.0,0,0,-5,0
1,6724,65.0,65.0,0,0,-5,0
1,6741,60.0,65.0,0,0,-5,0
1,6758,60.0,65.0,0,0,0,0
1,6775,60.0,65.0,0,0,0,0
1,6792,60.0,65.0,0,0,0,0
1,6809,60.0,65.0,0,0,0,0
1,6826,60.0,65.0,0,0,0,0
1,6843,60.0,65.0,0,0,0,0
1,6860,60.0,65.0,0,0,0,0
1,6877,60.0,65.0,0,0,0,0
1,6895,60.0,65.0,0,0,0,0
1,6911,60.0,65.0,0,0,0,0
1,6928,60.0,65.0,0,0,0,0
1,6945,60.0,65.0,0,0,0,0
1,6962,60.0,65.0,0,0,0,0
1,6979,60.0,65.0,0,0,0,0
1,6996,60.0,65.0,0,0,0,0
1,7013,60.0,60.0,0,0,0,-5
1,7030,60.0,55.0,0,0,0,-5
1,7047,60.0,50.0,0,0,0,-5
1,7064,60.0,45.0,0,0,0,-5
1,7081,60.0,45.0,0,0,0,0
1,7098,60.0,45.0,0,0,0,0
1,7115,60.0,45.0,0,0,0,0
1,7131,60.0,45.0,0,0,0,0
1,7148,60.0,45.0,0,0,0,0
1,7165,60.0,45.0,0,0,0,0
1,7182,60.0,45.0,0,0,0,0
1,7199,60.0,45.0,0,0,0,0
1,7216,60.0,45.0,0,0,0,0
1,7233,60.0,45.0,0,0,0,0
1,7250,55.0,45.0,0,0,-5,0
1,7267,50.0,45.0,0,0,-5,0
1,7284,45.0,45.0,0,0,-5,0
1,7301,40.0,45.0,0,0,-5,0
1,7318,40.0,45.0,0,0,0,0
1,7334,40.0,45.0,0,0,0,0
1,7351,40.0,45.0,0,0,0,0
1,7368,40.0,45.0,0,0,0,0
1,7385,40.0,45.0,0,0,0,0
1,7403,40.0,45.0,0,0,0,0
1,7418,40.0,45.0,0,0,0,0
1,7435,40.0,45.0,0,0,0,0
1,7452,40.0,45.0,0,0,0,0
1,7469,40.0,45.0,0,0,0,0
1,7485,40.0,45.0,0,0,0,0
1,7502,40.0,45.0,0,0,0,0
1,7518,40.0,45.0,0,0,0,0
1,7535,40.0,40.0,0,0,0,-5
1,7552,40.0,35.0,0,0,0,-5
1,7569,40.0,30.0,0,0,0,-5
1,7585,40.0,25.0,0,0,0,-5
1,7602,40.0,20.0,0,0,0,-5
1,7619,40.0,20.0,0,0,0,0
1,7636,40.0,20.0,0,0,0,0
1,7653,40.0,20.0,0,0,0,0
1,7670,40.0,20.0,0,0,0,0
1,7686,40.0,20.0,0,0,0,0
1,7703,40.0,20.0,0,0,0,0
1,7720,40.0,20.0,0,0,0,0
1,7737,40.0,20.0,0,0,0,0
1,7754,40.0,20.0,0,0,0,0
1,7771,40.0,20.0,0,0,0,0
1,7788,35.0,20.0,0,0,-5,0
1,7804,30.0,20.0,0,0,-5,0
1,7821,25.0,20.0,0,0,-5,0
1,7838,20.0,20.0,0,0,-5,0
1,7855,15.0,20.0,0,0,-5,0
1,8652,15.0,20.0,0,0,0,-5
1,7872,15.0,20.0,0,0,0,0
1,7889,15.0,20.0,0,0,0,0
1,7906,15.0,20.0,0,0,0,0
1,7923,15.0,20.0,0,0,0,0
1,7941,15.0,20.0,0,0,0,0
1,7958,15.0,20.0,0,0,0,0
1,7975,15.0,20.0,0,0,0,0
1,7992,15.0,20.0,0,0,0,0
1,8009,15.0,20.0,0,0,0,0
1,8027,15.0,20.0,0,0,0,0
1,8043,15.0,20.0,0,0,0,0
1,8060,15.0,20.0,0,0,0,0
1,8077,15.0,20.0,0,0,0,0
1,8093,15.0,20.0,0,0,0,0
1,8110,15.0,20.0,0,0,0,0
1,8127,15.0,20.0,0,0,0,0
1,8143,15.0,20.0,0,0,0,0
1,8160,15.0,20.0,0,0,0,0
1,8177,15.0,20.0,0,0,0,0
1,8194,15.0,20.0,0,0,0,0
1,8212,15.0,20.0,0,0,0,0
1,8228,15.0,20.0,0,0,0,0
1,8245,15.0,20.0,0,0,0,0
1,8262,15.0,20.0,0,0,0,0
1,8279,15.0,20.0,0,0,0,0
1,8296,15.0,20.0,0,0,0,0
1,8313,15.0,20.0,0,0,0,0
1,8330,15.0,20.0,0,0,0,0
1,8347,15.0,20.0,0,0,0,0
1,8364,15.0,20.0,0,0,0,0
1,8381,15.0,20.0,0,0,0,0
1,8398,15.0,20.0,0,0,0,0
1,8415,15.0,20.0,0,0,0,0
1,8432,15.0,20.0,0,0,0,0
1,8449,15.0,20.0,0,0,0,0
1,8466,15.0,20.0,0,0,0,0
1,8483,15.0,20.0,0,0,0,0
1,8500,15.0,20.0,0,0,0,0
1,8517,15.0,20.0,0,0,0,0
1,8534,15.0,20.0,0,0,0,0
1,8551,15.0,20.0,0,0,0,0
1,8568,15.0,20.0,0,0,0,0
1,8585,15.0,20.0,0,0,0,0
1,8602,15.0,20.0,0,0,0,0
1,8619,15.0,20.0,0,0,0,0
1,8635,15.0,20.0,0,0,0,0
1,8652,15.0,20.0,0,0,0,0
1,8652,15.0,20.0,0,0,0,-5
